P_id,CellSize,P_Area_ha_Excel
17312,117,103.66
17511,117,103.66
17566,117,103.66
17583,117,103.66
17922,117,103.66
17987,117,103.66
18166,117,103.66
18189,117,103.66
18327,117,103.66
18384,117,103.66
18532,117,103.66
18629,117,103.66
18638,117,103.66
18718,117,103.66
18835,117,103.66
18952,117,103.66
19153,117,103.66
19170,117,103.66
19234,117,103.66
19369,117,103.66
19537,117,103.66
19591,117,103.66
19690,117,103.66
19883,117,103.66
20064,117,103.66
20171,117,103.66
20258,117,103.66
20398,117,103.66
20401,117,103.66
20471,117,103.66
20683,117,103.66
20685,117,103.66
20873,117,103.66
21179,117,103.66
21268,117,103.66
21295,117,103.66
21357,117,103.66
21375,117,103.66
21599,117,103.66
21693,117,103.66
21853,117,103.66
21873,117,103.66
21889,117,103.66
21892,117,103.66
22015,117,103.66
22264,117,103.66
22298,117,103.66
22343,117,103.66
22351,117,103.66
22424,117,103.66
22484,117,103.66
22826,117,103.66
22931,117,103.66
23037,117,103.66
23244,117,103.66
23432,117,103.66
23540,117,103.66
23898,117,103.66
24123,117,103.66
24209,117,103.66
24220,117,103.66
24576,117,103.66
24620,117,103.66
24654,117,103.66
24781,117,103.66
24791,117,103.66
24845,117,103.66
24958,117,103.66
24972,117,103.66
24987,117,103.66
25053,117,103.66
25317,117,103.66
25479,117,103.66
25528,117,103.66
25545,117,103.66
25585,117,103.66
25635,117,103.66
25778,117,103.66
26158,117,103.66
26253,117,103.66
26346,117,103.66
26585,117,103.66
26665,117,103.66
26743,117,103.66
26844,117,103.66
26868,117,103.66
27004,117,103.66
27278,117,103.66
27309,117,103.66
27391,117,103.66
27425,117,103.66
27534,117,103.66
27642,117,103.66
28367,117,103.66
28608,117,103.66
28688,117,103.66
28834,117,103.66
28941,117,103.66
28954,117,103.66
29105,117,103.66
29418,117,103.66
29554,117,103.66
29686,117,103.66
29954,117,103.66
30201,117,103.66
30215,117,103.66
30306,117,103.66
30487,117,103.66
30601,117,103.66
30709,117,103.66
30743,117,103.66
30980,117,103.66
30984,117,103.66
30992,117,103.66
31166,117,103.66
31192,117,103.66
31313,117,103.66
31515,117,103.66
31529,117,103.66
31932,117,103.66
31948,117,103.66
320,118,104.55
404,118,104.55
495,118,104.55
514,118,104.55
560,118,104.55
566,118,104.55
614,118,104.55
1040,118,104.55
1048,118,104.55
1092,118,104.55
1228,118,104.55
1307,118,104.55
1385,118,104.55
1418,118,104.55
1482,118,104.55
1567,118,104.55
1618,118,104.55
1636,118,104.55
1739,118,104.55
2132,118,104.55
2186,118,104.55
2412,118,104.55
2541,118,104.55
2597,118,104.55
2599,118,104.55
2850,118,104.55
3099,118,104.55
3175,118,104.55
3180,118,104.55
3567,118,104.55
3626,118,104.55
3647,118,104.55
3892,118,104.55
3895,118,104.55
3939,118,104.55
4230,118,104.55
4359,118,104.55
4386,118,104.55
4502,118,104.55
4738,118,104.55
4931,118,104.55
5081,118,104.55
5199,118,104.55
5209,118,104.55
5700,118,104.55
5828,118,104.55
5980,118,104.55
6138,118,104.55
6259,118,104.55
6465,118,104.55
6471,118,104.55
6694,118,104.55
6771,118,104.55
6980,118,104.55
7018,118,104.55
7037,118,104.55
7079,118,104.55
7404,118,104.55
7515,118,104.55
7584,118,104.55
8501,118,104.55
8597,118,104.55
8658,118,104.55
8664,118,104.55
8849,118,104.55
8868,118,104.55
9013,118,104.55
9153,118,104.55
9315,118,104.55
9401,118,104.55
9604,118,104.55
9713,118,104.55
10106,118,104.55
10365,118,104.55
10540,118,104.55
10704,118,104.55
10748,118,104.55
10821,118,104.55
11035,118,104.55
11294,118,104.55
11447,118,104.55
11702,118,104.55
11729,118,104.55
11842,118,104.55
11880,118,104.55
11937,118,104.55
12148,118,104.55
12233,118,104.55
12284,118,104.55
12374,118,104.55
12692,118,104.55
12715,118,104.55
12747,118,104.55
12765,118,104.55
12914,118,104.55
